doc_idx,chunk_idx,n_tokens,text_chunk
0,11,300,"METADATA:
{
  ""parent_headings"": [
    ""# （二）伴随症状""
  ]
}

CONTENT:
在 VM 发作期，病人常伴有偏头痛发作的特征症状，如头痛、畏光畏声，少数病人伴有视觉先兆症状。前庭症状可出现在偏头痛发作前、发作中或发作后，部分病人前庭症状发作时可不伴偏头痛发作 [3,5,38,41,42]。部分病人会伴有耳鸣、耳闷及听力下降 [5,36,38,41]，听力损害多为轻度且呈非进展性 [33,36,41]，其中约 $20 \%$ 的病人双耳受累 [41]。研究显示，相较于单纯偏头痛病人，VM 病人畏光、畏声、恶心和呕吐的发生率更低，而耳蜗症状的发生率更高 [43]。"
0,12,178,"METADATA:
{
  ""parent_headings"": [
    ""# （三）诱发因素""
  ]
}

CONTENT:
VM 与单纯偏头痛的诱发因素相似，包括睡眠剥夺、饥饿、精神压力、月经、视觉刺激、特殊气味、噪声、季节性天气变化、寒冷、吹风、特殊食物（如酒精、奶酪、油腻高盐食物、巧克力等）均可促发

VM [33,35]。此外，过度头动、乘坐飞机也是 VM 的诱因之一 [33,44,45]。"
0,13,685,"METADATA:
{
  ""parent_headings"": [
    ""# （四）VM的共病""
  ]
}

CONTENT:
研究报道，超过半数的 VM 病人合并不同程度的焦虑，约 $40 \%$ 的病人存在抑郁障碍，另有 $30 \%$ 的病人伴有睡眠障碍 [33]。相较于单纯偏头痛病人，VM病人焦虑、抑郁障碍共病的比例显著增高[46,47]，且认知功能损害程度更重 [48]。精神心理障碍与 VM存在双向交互作用，可能延长病程或导致病情反复 [33]。此外，VM 病人晕动病 (motion sickness) 的发生率亦显著高于单纯偏头痛病人 [43,46]。VM 是持续 性 姿 势 感 知 性 头 晕 (persistent postural-perceptualdizziness, PPPD) 的常见诱发因素，因此 VM 病人发作间期若仍存在持续头晕并满足 PPPD 诊断标准时，需警惕两者共病的可能 [49]。偏头痛病人罹患梅尼埃病 (Ménière's disease, MD) 和 BPPV 的风险显著增高 [50]，VM 作为偏头痛的一个亚型，与 MD 及BPPV 也存在共病现象 [51]。

推荐意见 1：VM 以反复发作的自发性或诱发性眩晕/头晕为核心症状，持续时间为数分钟至数天不等，常伴偏头痛特征性症状（如偏头痛性头痛、畏光畏声等）。其临床表现异质性大，在病史采集中需重点关注以下关键信息：前庭症状的具体表现、持续时间、发作频率、是否有偏头痛病史、偏头痛特征性伴随症状、诱发及缓解因素、是否有偏头痛或发作性眩晕的家族史，以及与精神心理和其他前庭疾病共病情况(1B)。"
0,14,756,"METADATA:
{
  ""parent_headings"": [
    ""# （五）体征""
  ]
}

CONTENT:
发作期体征：约 $70 \%$ 的病人会出现病理性眼震，其中自发性眼震的发生率为 $4 5 \% \sim 7 1 . 3 \%$ ，可表现为自发性水平性、垂直性、扭转性眼震，也可表现为位置性眼震，部分自发性眼震病人在位置改变后眼震方向发生改变；少数病人可见凝视诱发性眼震和扫视性跟踪异常 [36,52]。指鼻试验、跟膝胫试验通常正常。发作期多数病人存在姿势步态异常（如睁眼时步态不稳或串联步态异常），昂伯征或昂伯加强试验阳性。总体而言，约 $50 \%$ 的 VM病人存在中枢性前庭功能障碍， $1 5 \%$ 的病人存在外周性前庭功能障碍，另有 $3 5 \%$ 的病人无法明确定位 [52] 。 .

发作间期体征：少数病人仍可检测到异常体征。平滑跟踪的矫正性扫视、位置性眼震较为多见，其他异常包括摇头性眼震、凝视诱发性眼震、过度换气诱发的眼震、乳突震动诱发的眼震、前庭眼反射(vestibular ocular reflex, VOR) 抑制失败、昂伯加强

试验阳性等 [33,36]。多次随访能够显著提高发现异常眼动的概率 [41]。对 VM 病人平均随访 9 年，发现眼动异常率从首诊的 $1 6 \%$ 增至 $41 \%$ [41]。其中最常见的异常眼动为中枢性位置性眼震[41]。对 VM 病人随访 8 年，发现扫视性跟踪 (saccadic pursuit) 异常率从首诊的 $20 \%$ 上升至 $6 3 \%$ [53]。

推荐意见 2：VM 发作期常见自发性或位置诱发眼震，且中枢性眼动异常较周围性更为常见。发作间期少数病人仍可能发现眼球平滑跟踪异常、位置性眼震等体征。眼动异常检出率随病程延长显著升高，需动态评估(2C)。"
0,15,60,"METADATA:
{
  ""parent_headings"": [
    ""# 三、辅助检查""
  ]
}

CONTENT:
VM的诊断主要依据临床表现，神经-耳科学检查及影像学检查主要用于鉴别其他外周性和中枢性前庭疾病。"
0,16,174,"METADATA:
{
  ""parent_headings"": [
    ""# （一）纯音测听""
  ]
}

CONTENT:
VM 病人纯音测听通常无特异性改变，约$2 2 . 7 \%$ 的病人存在年龄相关的对称性高频听力下降，$1 5 . 8 \%$ 的病人存在双耳不对称性改变，多为高频或全频不对称性听力下降 [36]。 $3 \% \sim 1 8 \%$ 的病人存在轻微低频听力下降伴下降型听力曲线，经过长期随访，多数仍然为轻度下降，甚至部分可有改善[41]。"
0,17,397,"METADATA:
{
  ""parent_headings"": [
    ""# （二）前庭功能检查""
  ]
}

CONTENT:
大多数 VM 病人的前庭功能检查结果在正常范围 , 但部分病人可出现异常 [33,36]。基于急性发作时的眼动记录，在 VM 发作过程中可存在中枢性、外周性或混合性功能障碍 [52]。在 VM 发作间期，前庭双温试验单侧水平半规管功能减弱发生率在$5 \% \sim 2 2 \%$ [41,54,55]，双侧功能减弱约占 $1 1 \%$ 。视频头脉冲试验和位置性试验提示 VM 病人在发作间期存在中枢性、外周性前庭病变可能 [41,54,55]。前庭诱发肌 源 性 电 位 (vestibular-evoked myogenic potentials,VEMP) 振幅下降、潜伏期延长、双侧不对称性，眼源性 VEMP 正常而颈源性 VEMP 异常等，不同研究的结果常不一致 [6]。VM 病人对低频动态侧倾(low-frequency dynamic roll tilting) 的知觉敏感性异常增高，该项检查可同时激活半规管和耳石器 [56]。需特别注意，前庭功能检查可能诱发 VM 病人的偏头痛发作 [57,58]。"
0,18,285,"METADATA:
{
  ""parent_headings"": [
    ""# （三）神经影像学检查""
  ]
}

CONTENT:
VM 病人的头颅 CT/MRI 检查常无特异性阳性发现，但有助于鉴别其他的中枢性前庭疾病。超过$40 \%$ 的 VM 病人头颅 MRI 有非特异性改变，最常见的为皮质下散在 FLAIR高信号，提示可能与偏头痛的发病机制有关 [33,59]。对于伴耳蜗症状的 VM，

颞骨 CT 和内耳 MRI 有助于排除其他中耳、内耳以及蜗后病变。

推荐意见 3：VM 诊断以临床表现为主，辅助检查主要用于鉴别诊断。建议结合临床需求选择针对性检查。少数 VM 病人有轻微的听力及前庭功能异常，发作间期严重的听力和前庭功能异常需考虑其他疾病 (1B)。"
0,19,791,"METADATA:
{
  ""parent_headings"": [
    ""# （一）诊断与分类""
  ]
}

CONTENT:
# （一）诊断与分类

2012 年，Bárány 学会联合国际头痛学会 (Inter-national Headache Society, IHS) 发布了 VM 和很可能的VM诊断标准（见表2）[28]。随后2013年，国际头痛分类标准 (International Classification of HeadacheDisorders-3 Beta, ICHD-3β) [60] 首次纳入 VM 诊断标准，归类为可能与偏头痛有关的发作性综合征，未包含很可能的 VM (probable VM, p-VM) 诊断标准。2018 年，ICHD-3 [29] 正式版延续 VM 的附录地位，仍强调其诊断需进一步验证；同年中国《前庭性偏头痛诊治专家共识(2018)》[30] 同步采纳VM及p-VM标准，推动国内规范化诊疗。2021 年 Bárány 学会联合 IHS 对儿童偏头痛相关的眩晕综合征进行重新分类，明确区分为儿童 VM (vestibular migraineof childhood, VMC)、 很 可 能 的 儿 童 VM (probableVMC, p-VMC)、RVC（见表 2）[12]，建议用术语“儿童复发性眩晕”代替“儿童良性阵发性眩晕”。2022 年 Bárány 学会联合 IHS 更新了 VM 诊断标准文件 [40]，除了保留成人 VM 和 p-VM 诊断标准，还强调儿童亚型的临床意义，并提出了慢性前庭性偏头痛 (chronic vestibular migraine, CVM) 这一临床现象的存在，认为其未来有望成为独立分类。

推荐意见 4：成人 VM 及 p-VM 的诊断框架依据 2012 年及 2022 年 Bárány 学会联合 IHS 发布的诊断标准 (1B)；针对儿童患儿，目前采用 2021 年提出的儿童周期性眩晕综合征亚型分类体系，具体包括 VMC、很可能的 p-VMC 及 RVC，其中 VMC 与p-VMC 均制定了专属诊断标准，旨在精准鉴别无偏头痛病史和伴随症状的 RVC（替代原”良性阵发性眩晕”）(1B)。CVM 及 p-CVM 诊断标准尚需进一步验证 (2C)。"
0,20,3378,"METADATA:
{
  ""parent_headings"": [
    ""# 1. 梅尼埃病""
  ]
}

CONTENT:
# 1. 梅尼埃病

MD是以膜迷路积水为主要病理特征的内耳病，临床表现为发作性眩晕、波动性听力下降、耳鸣和（或）耳闷胀感，至少1次听力学检查发现患耳有低至中频听力下降[61]。眩晕发作通常持续 $2 0 ~ \mathrm { { m i n } }$ 至

表2 前庭性偏头痛的分类和诊断标准  


<!-- TABLE_METADATA: {""type"": ""table"", ""page"": 0, ""table_idx"": 1, ""caption"": ""表2 前庭性偏头痛的分类和诊断标准"", ""footnote"": ""注：a 中度前庭症状是指干扰日常活动，但尚能进行日常活动；重度前庭症状为无法进行日常活动 [28]。b 前庭症状包括内在性眩晕（自我运动的错觉）及外在性眩晕（外部环境运动错觉），也可表现为头动或位置诱发的眩晕、视觉诱发的眩晕、头动诱发的头晕并伴恶心 [39,40]，不伴恶心的头晕、头昏沉感、头重脚轻感并不属于本标准所界定的前庭症状范畴。c 视觉先兆的特征是偏头痛发作前或发作同时眼前出现明亮的闪烁光线或锯齿状的线条，经常伴有干扰阅读的盲点。视觉先兆通常扩散持续 $5 \\sim 6 0 ~ \\mathrm { m i n }$ 。其他类型的偏头痛先兆不包括在诊断标准中，因为这些先兆表现特异性低，加之绝大多数其他先兆偏头痛病人同时也存在视觉先兆。d VMC 与 p-VMC 的诊断标准专为精准区分儿童周期性眩晕综合征的三种不同亚型而制定，核心在于明确界定无偏头痛病史及相关伴随特征的“儿童复发性眩晕 (RVC)”；而既往沿用的“良性阵发性眩晕”这一命名，因缺乏对疾病特征的细致区分，无法有效鉴别这 3 种临床情形 [12]。e 部分 VM 病人可出现慢性前庭症状，其病程持续超过 3 个月，且每月至少有半月以上出现症状。前庭症状可为持续性或反复发作性，需考虑 CVM 或 VM 合并 PPPD 的可能性。本指南采用 Chae 等 [45] 提出的 CVM 诊断标准，该标准特别强调：慢性前庭症状需同时满足伴随偏头痛特征症状，以及符合慢性偏头痛病程的要求。f 慢性偏头痛指偏头痛病人超过 3 个月每月至少半月以上出现头痛，并且每月至少 8 天的头痛形式符合偏头痛特征 [29]。g 本指南拟定的 p-CVM 诊断标准是 p-CVM 的改良版，强调了慢性前庭症状必须伴随偏头痛特征症状，同时排除偏头痛病程不符合慢性偏头痛，或无偏头痛病史，以避免与PPPD 或其他类型慢性头晕混淆 [40,45]。目前国际学术组织尚未对CVM和p-CVM提出统一诊断标准，其诊断标准仍需进一步验证。"", ""extracted_from"": ""mineru_api""} -->
<table><tr><td>病名</td><td>诊断标准</td></tr><tr><td>前庭性偏头痛(VM)</td><td>A.至少5次中重度a前庭症状b发作,每次持续5min至72hB.目前或既往存在有先兆或无先兆偏头痛病史(依据ICHD-3诊断标准)C.至少50%的前庭症状发作伴随以下偏头痛特征中的至少1项:①头痛至少具有a至d特点中的2项:a单侧;b搏动性;c中重度;d日常体力活动加重头痛②畏光和畏声③视觉先兆cD.不能用其他ICHD-3头痛疾病、前庭疾病或其他诊断更好地解释</td></tr><tr><td>很可能的前庭性偏头痛(p-VM)</td><td>A.至少5次中重度前庭症状发作,每次持续5min至72hB.仅存在VM诊断标准中的B或C中的1项(偏头痛病史或发作时的偏头痛特征症状)C.不能用其他ICHD-3头痛疾病、前庭疾病或其他诊断更好地解释</td></tr><tr><td>儿童前庭性偏头痛(VMC)d</td><td>A.至少5次中重度前庭症状发作,每次持续5min至72hB.目前或既往存在有先兆或无先兆偏头痛病史C.至少50%的前庭症状发作伴随以下偏头痛特征中的至少1项:①头痛至少具有a至d特点中的2项:a单侧;b搏动性;c中重度;d日常体力活动加重头痛②畏光和畏声③视觉先兆cD.年龄&lt;18岁E.不能用其他ICHD-3头痛疾病、前庭疾病或其他诊断更好地解释</td></tr><tr><td>很可能的儿童前庭性偏头痛(p-VMC)</td><td>A.至少3次中重度前庭症状发作,每次持续5min至72hB.仅存在VM诊断标准中的B或C中的一项C.年龄&lt;18岁D.不能用其他ICHD-3头痛疾病、前庭疾病或其他诊断更好地解释</td></tr><tr><td>慢性前庭性偏头痛(CVM)e</td><td>A.中重度前庭症状每月存在15天以上,并且超过3个月B.满足慢性偏头痛诊断标准(ICHD-3)fC.满足VM诊断标准D.不能用其他ICHD-3头痛疾病、前庭疾病或其他诊断更好地解释</td></tr><tr><td>很可能的慢性前庭性偏头痛(p-CVM)g</td><td>A.中重度前庭症状每月存在15天以上,并且超过3个月B.不满足慢性偏头痛诊断标准(ICHD-3)C.满足VM诊断标准C(50%以上的前庭症状伴随偏头痛特征性症状)D.不能用其他ICHD-3头痛疾病、前庭疾病或其他诊断更好地解释</td></tr></table>

注：a 中度前庭症状是指干扰日常活动，但尚能进行日常活动；重度前庭症状为无法进行日常活动 [28]。b 前庭症状包括内在性眩晕（自我运动的错觉）及外在性眩晕（外部环境运动错觉），也可表现为头动或位置诱发的眩晕、视觉诱发的眩晕、头动诱发的头晕并伴恶心 [39,40]，不伴恶心的头晕、头昏沉感、头重脚轻感并不属于本标准所界定的前庭症状范畴。c 视觉先兆的特征是偏头痛发作前或发作同时眼前出现明亮的闪烁光线或锯齿状的线条，经常伴有干扰阅读的盲点。视觉先兆通常扩散持续 $5 \sim 6 0 ~ \mathrm { m i n }$ 。其他类型的偏头痛先兆不包括在诊断标准中，因为这些先兆表现特异性低，加之绝大多数其他先兆偏头痛病人同时也存在视觉先兆。d VMC 与 p-VMC 的诊断标准专为精准区分儿童周期性眩晕综合征的三种不同亚型而制定，核心在于明确界定无偏头痛病史及相关伴随特征的“儿童复发性眩晕 (RVC)”；而既往沿用的“良性阵发性眩晕”这一命名，因缺乏对疾病特征的细致区分，无法有效鉴别这 3 种临床情形 [12]。e 部分 VM 病人可出现慢性前庭症状，其病程持续超过 3 个月，且每月至少有半月以上出现症状。前庭症状可为持续性或反复发作性，需考虑 CVM 或 VM 合并 PPPD 的可能性。本指南采用 Chae 等 [45] 提出的 CVM 诊断标准，该标准特别强调：慢性前庭症状需同时满足伴随偏头痛特征症状，以及符合慢性偏头痛病程的要求。f 慢性偏头痛指偏头痛病人超过 3 个月每月至少半月以上出现头痛，并且每月至少 8 天的头痛形式符合偏头痛特征 [29]。g 本指南拟定的 p-CVM 诊断标准是 p-CVM 的改良版，强调了慢性前庭症状必须伴随偏头痛特征症状，同时排除偏头痛病程不符合慢性偏头痛，或无偏头痛病史，以避免与PPPD 或其他类型慢性头晕混淆 [40,45]。目前国际学术组织尚未对CVM和p-CVM提出统一诊断标准，其诊断标准仍需进一步验证。"
0,21,546,"METADATA:
{
  ""parent_headings"": [
    ""# 1. 梅尼埃病""
  ]
}

CONTENT:
$^ { 1 2 \mathrm { ~ h ~ } }$ ，与 VM 在发作持续时间上有很大重叠，VM病人中也可有耳蜗症状，少数 VM 病人增强 MRI亦可见内淋巴积水 [33,36,41,62]，致一些伴耳蜗症状的VM 和 MD 鉴别困难。此外，MD 病人中偏头痛发生率高于普通人群 , 前庭受到刺激也可诱发偏头痛发作[63]，因此，MD发作时也可伴偏头痛样头痛、畏光或偏头痛先兆 [64]。当同一病人两种不同类型的眩晕发作分别符合MD和VM的诊断标准时，可诊断为MD/VM叠加综合征 [40]。而一次发作既符合VM 又符合 MD 发作标准时，应判断为 MD。脱水试验、耳声发射、耳蜗电图SP/AP、视频头脉冲试验、前庭双温试验和内耳钆造影膜迷路 MR 成像可能有

助于进一步鉴别难以区分的 VM 和 MD，但上述检查目前尚未被推荐用于MD 的常规辅助检查[61]。动态纵向观察疾病的演变有助于修正最后诊断，VM即使出现波动性听力下降、耳鸣、耳闷，最终也不会进展到中-重度听力下降，其听力下降通常表现为双耳对称性下降型曲线，而 MD 后期的听力曲线为单耳或不对称性的平坦型曲线 [40]。"
0,22,370,"METADATA:
{
  ""parent_headings"": [
    ""# 2. 脑干先兆偏头痛""
  ]
}

CONTENT:
脑干先兆偏头痛是一种罕见的先兆偏头痛，先兆症状至少包括两种可逆的脑干症状。其中至少$60 \%$ 的病人脑干先兆包括眩晕发作，其他脑干先兆症状包括构音不清、耳鸣、听觉减退、共济失调、

意识障碍。正如其他先兆偏头痛，眩晕等脑干先兆症状先后持续 $5 ~ \mathrm { { m i n } }$ 至 $6 0 ~ \mathrm { { m i n } }$ 消失，随即在 $6 0 ~ \mathrm { { m i n } }$ 内出现头痛发作，先兆也可伴随头痛同时出现 [29]。而VM的眩晕可在偏头痛发作之前、之中或之后发作，甚至不伴头痛发作，眩晕的持续时间通常为 $5 \mathrm { { m i n } }$ 至$^ { 7 2 \mathrm { h } }$ ，可能比脑干先兆偏头痛的眩晕持续时间更长。"
